strategy_version,stop_policy,post_tp1_stop_fib_ratio,asset,timeframe,entry_level,min_distance,min_move,v6_selection_policy,v6_selection_robust_rank,v6_selection_robust_score,number_of_trades,trades_per_year,initial_capital,final_equity,total_return,annualized_return,net_pnl,gross_pnl,profit_factor,expectancy,average_r,median_r,win_rate,average_win,average_loss,sharpe_ratio,sortino_ratio,calmar_ratio,maximum_drawdown,average_holding_duration,fees,slippage,stop_before_tp1_rate,post_tp1_stop_exit_rate,percentage_trades_improved_vs_0880,percentage_trades_worsened_vs_0880,average_incremental_r_vs_0880,comparable_trades_vs_0880,early_return,late_return,tp1_reach_rate,tp2_reach_rate,tp3_reach_rate,tp4_reach_rate,tp5_reach_rate,warnings,stop_neighborhood_penalty,placement_instability_penalty,consistency_penalty,cost_penalty,low_trade_penalty,robust_score,robust_rank
Strategy_V6_5_PostTP1StopPlacement,Fib 0.900,0.9,SOL,1d,0.9,7,0.0025,C,125,0.5360028937917918,45,9.94328493647913,10000.0,12688.242159287567,0.2688242159287566,0.05397944937328214,2688.2421592875703,3155.067275239423,2.0814849652699925,59.73871465083489,0.2743449959695554,0.23436721895455143,0.7777777777777778,147.82678624438768,-248.56953592659988,0.8011788977218384,0.47960845364350885,0.9288141854625758,-0.05811652127857936,96.0,466.82511595185343,93.36515312765546,0.2222222222222222,0.7333333333333333,0.022222222222222223,0.7333333333333333,-0.013155464973300397,45,0.1373141838686709,0.11563210406181978,0.7777777777777778,0.24444444444444444,0.17777777777777778,0.044444444444444446,0.044444444444444446,,0.032046884104492745,0.08078488724840037,0.004335736554556962,0.017755255917229176,0.0,0.4695843546745648,44
Strategy_V6_5_PostTP1StopPlacement,Fib 0.870,0.87,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,12649.461883670123,0.26494618836701234,0.053267286456714746,2649.4618836701193,3236.3462470492354,2.0370356417337727,71.60707793703025,0.3289922289044364,0.39394539178926863,0.7297297297297297,192.75198392974585,-255.48416824330198,0.8201153561836283,0.36584146745573254,1.1984765293674566,-0.04444583198039653,55.78378378378378,586.8843633791163,117.37700682474218,0.2702702702702703,0.7027027027027027,0.7027027027027027,0.0,0.03155515383743848,37,0.19497928924492935,0.05855072113115267,0.7297297297297297,0.32432432432432434,0.1891891891891892,0.05405405405405406,0.02702702702702703,,0.01667971390713303,0.07576291502518377,0.02711767713378805,0.021761001958488662,0.0,0.4654057196740111,45
Strategy_V6_5_PostTP1StopPlacement,Fib 0.880,0.88,SOL,1d,0.9,7,0.0025,C,125,0.5360028937917918,50,11.0480943738657,10000.0,12705.771505444593,0.2705771505444592,0.05430080268922155,2705.771505444584,3224.238685236087,1.9216165502523121,54.11543010889168,0.24770542720026636,0.34842734652268686,0.76,148.46496753420487,-244.65810507126676,0.8108996022607271,0.4576109759897795,0.9840404688495837,-0.05518147312854238,71.04,518.467179791502,103.693569075578,0.24,0.74,0.0,0.0,0.0,50,0.10099097173446991,0.15403048995290858,0.76,0.22,0.14,0.02,0.02,,0.03169629718135223,0.0826392033911823,0.01059796747324758,0.019296361392721267,0.0,0.4526216441667444,46
Strategy_V6_5_PostTP1StopPlacement,Fib 0.786,0.786,XRP,1d,0.9,7,0.0025,C,402,0.0958142538445731,28,6.1869328493647915,10000.0,13480.206847796875,0.3480206847796876,0.06816509096366419,3480.2068477968655,3828.341720121265,2.493169898313732,124.29310170703091,0.5473544624500897,0.902936522494739,0.7142857142857143,290.5478794687496,-291.3438426972658,1.1071738832859794,0.46010914835070243,0.5687459778241076,-0.11985155697179306,66.0,348.1348723244001,69.62713038362524,0.2857142857142857,0.7142857142857143,0.6785714285714286,0.03571428571428571,0.3015596970859808,28,0.4250407552143125,-0.05404762646457928,0.7142857142857143,0.32142857142857145,0.21428571428571427,0.0,0.0,,0.03569910995732344,0.16968129693956988,0.08910264572539556,0.010912348824879521,0.0,0.42326031082821636,47
Strategy_V6_5_PostTP1StopPlacement,Fib 0.820,0.82,XRP,1d,0.9,7,0.0025,C,402,0.0958142538445731,28,6.1869328493647915,10000.0,12954.606569571079,0.2954606569571079,0.05882568180464354,2954.6065695710845,3295.3001422766592,2.307233539299392,105.5216631989673,0.4751155232498311,0.7053239715115178,0.7142857142857143,260.7402261267815,-282.52474412056824,0.9645387705119237,0.45962258207366474,0.4907647006345787,-0.11986534836058815,99.42857142857143,340.6935727055745,68.13884907866557,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,0.2293207578857221,28,0.3943724701914981,-0.07093643581532139,0.7142857142857143,0.35714285714285715,0.25,0.0,0.0,,0.025187104392807497,0.10918990747617299,0.08688024373810256,0.012406530638565312,0.0,0.39630946441692394,48
Strategy_V6_5_PostTP1StopPlacement,Fib 0.880,0.88,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,12360.659202565505,0.2360659202565505,0.04790948776241444,2360.659202565491,2940.646585413122,1.9360960627734651,63.80160006933759,0.297437075066998,0.3358542363345638,0.7297297297297297,180.83230309503304,-252.18129810004012,0.741544032388643,0.3349460348948911,1.0612219534868297,-0.04514558675025471,55.78378378378378,579.9873828476306,115.99759883528294,0.2702702702702703,0.7027027027027027,0.0,0.0,0.0,37,0.18068264945122192,0.04690783830106304,0.7297297297297297,0.32432432432432434,0.1891891891891892,0.05405405405405406,0.02702702702702703,,0.0224557675292254,0.0826392033911823,0.026596496879396293,0.02366775338237855,0.0,0.3905051220488616,49
Strategy_V6_5_PostTP1StopPlacement,Fib 0.830,0.83,XRP,1d,0.9,7,0.0025,C,402,0.0958142538445731,28,6.1869328493647915,10000.0,12743.15309577227,0.27431530957722705,0.05498494124110098,2743.1530957722784,3080.3258545588346,2.2299410338364654,97.96975342043852,0.4452069900242499,0.6472026329870415,0.7142857142857143,248.67328929085346,-278.7890862555989,0.9072807653954095,0.4430541666687023,0.4562843024361707,-0.12050587966214943,104.57142857142857,337.1727587865559,67.4346776677261,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,0.199412224660141,28,0.3789169519786606,-0.07585782613763414,0.7142857142857143,0.35714285714285715,0.25,0.0,0.0,,0.020958034916831333,0.10330903611738872,0.08516319167279454,0.013135215414157218,0.0,0.3646501137441203,50
Strategy_V6_5_PostTP1StopPlacement,Fib 0.890,0.89,BTC,4h,0.9,4,0.05,C,561,-0.0704528894394735,44,9.716444981862153,10000.0,12477.87092045308,0.24778709204530802,0.05006457821076671,2477.8709204530796,3292.5083289996833,1.684353914904,56.31524819211545,0.26731948907629033,0.2453710966354471,0.6818181818181818,203.28719271311488,-258.6246329243119,0.7141995688483651,0.2763252733249692,0.44077152977188416,-0.11358396545411409,82.0,814.6374085466038,162.9276199267356,0.3181818181818182,0.5909090909090909,0.022727272727272728,0.5909090909090909,0.03191155685583027,44,0.2055323764970276,0.03505066837861448,0.6818181818181818,0.25,0.20454545454545456,0.13636363636363635,0.09090909090909091,,0.01813196406085913,0.07629738617943779,0.03376981170372669,0.02969058634911151,0.0,0.33209777503318305,51
Strategy_V6_5_PostTP1StopPlacement,Fib 0.870,0.87,SOL,4h,0.9,10,0.0025,C,144,0.5084995952585873,138,30.47430471584039,10000.0,14157.2263142058,0.41572263142057997,0.07973562981007531,4157.226314205801,6369.027204196641,1.3658888239374276,30.124828363810153,0.13390875451063855,0.3807404104126659,0.7101449275362319,158.35938237056473,-284.0498289527386,0.7247476252398555,0.344486771407275,0.4082725348697339,-0.19530000918508095,28.492753623188406,2211.80088999084,442.3604504536308,0.2898550724637681,0.6956521739130435,0.6934306569343066,0.0072992700729927005,0.026755356437485604,137,0.46728429440049024,-0.035140881134407276,0.7101449275362319,0.18115942028985507,0.07246376811594203,0.028985507246376812,0.014492753623188406,,0.0833597283096146,0.07576291502518377,0.09280445844254567,0.04167294714482624,0.0,0.3320625954287228,52
Strategy_V6_5_PostTP1StopPlacement,Fib 0.890,0.89,BTC,1d,0.9,7,0.0025,C,203,0.356381511540923,37,8.175589836660617,10000.0,12078.167318549806,0.20781673185498062,0.04257355085117509,2078.167318549808,2651.355048063983,1.8348422769304003,56.166684285129946,0.265881921229561,0.277763080879859,0.7297297297297297,169.16520951542958,-248.92933383667906,0.6579603449625373,0.31776603617366406,0.928634173932315,-0.0458453415201131,64.21621621621621,573.1877295141753,114.63765654253314,0.2702702702702703,0.7027027027027027,0.0,0.7027027027027027,-0.03155515383743699,37,0.16654282521280273,0.035381389992817924,0.7297297297297297,0.32432432432432434,0.1891891891891892,0.05405405405405406,0.02702702702702703,,0.028105605209539374,0.07629738617943779,0.026082887532624374,0.025942409582562623,0.0,0.32683342045550856,53
Strategy_V6_5_PostTP1StopPlacement,Fib 0.840,0.84,XRP,1d,0.9,7,0.0025,C,402,0.0958142538445731,28,6.1869328493647915,10000.0,12534.95219675274,0.253495219675274,0.05115444936475977,2534.9521967527417,2868.6444561768612,2.1518117275277873,90.53400702688363,0.4152984567986669,0.5890812944625652,0.7142857142857143,236.78956097290137,-275.1048778381607,0.8485046711969808,0.4158835507733501,0.4222531147050068,-0.12114641096371104,105.42857142857143,333.6922594241193,66.73856930013761,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,0.1695036914345581,28,0.36361900054878604,-0.08075846759922889,0.7142857142857143,0.35714285714285715,0.25,0.0,0.0,,0.01679401693644072,0.10349156438861375,0.08345326732628401,0.013958886674228167,0.0,0.325732470825394,54
Strategy_V6_5_PostTP1StopPlacement,Fib 0.850,0.85,XRP,1d,0.9,7,0.0025,C,402,0.0958142538445731,28,6.1869328493647915,10000.0,12329.95687245972,0.23299568724597197,0.04733418802920131,2329.9568724597134,2660.2084812029066,2.0728369778650215,83.21274544498976,0.3853899235730855,0.5309599559380858,0.7142857142857143,225.08642327356773,-271.47144912645524,0.7888235212988245,0.38656279310180924,0.38866390065118456,-0.1217869422652722,107.14285714285714,330.25160874319346,66.05043079898726,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,0.1395951582089766,28,0.3484771467845946,-0.08563842540007816,0.7142857142857143,0.35714285714285715,0.25,0.0,0.0,,0.012694110450580314,0.08673511494249277,0.08175100107335304,0.014897405310240154,0.0,0.302675274626335,55
